duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
148053,0.43,0.0,0.0802,-12327.0,0.2239999999999999,1.80060999999999e+16,0.6409999999999999,1
189227,0.908,0.5920000000000001,0.1159999999999999,-2.42,0.0326,120522.0,968.0,1
-1,0.5589999999999999,0.0,262.0,-5135.0,313.0,1.14982999999999e+16,473.0,1
133507,0.3379999999999999,0.0,105.0,-13887.0,0.0454,122421.0,0.6459999999999999,1
217156,557.0,0.0,374.0,-5882999999999990.0,0.0329,1.00026e+16,461.0,1
249533,366.0,106.0,0.0403,-10.96,145.0,73949.0,895.0,1
258160,591.0,0.00225,0.0718,-6407.0,0.0419,1.25892999999999e+16,397.0,1
211960,726.0,6.35e-05,0.0618,-3803.0,0.0401,1.03987e+16,728.0,1
168027,0.178,0.352,166.0,-17109.0,0.0264,84.78,401.0,1
336093,0.472,3.77e-06,317.0,-8792.0,0.0277,179167.0,431.0,1
218400,812.0,0.00106,102.0,-1.2062e+16,0.0315,135.68,823.0,1
192533,909.0,35100000000.0,0.3779999999999999,-4109.0,134.0,94025.0,297.0,1
351678,662.0,0.000423,96.0,-9828.0,0.0341,1.47948999999999e+16,0.3779999999999999,1
331173,0.5710000000000001,0.0476,126.0,-9186.0,0.0334,161874.0,0.6559999999999999,1
268467,835.0,0.00982,0.0769,-6553.0,0.0596,144641.0,0.12,1
-1,0.8370000000000001,0.0,113.0,-5146.0,0.0358,140066.0,623.0,1
252067,0.1969999999999999,0.0,0.0716,-14792.0,0.0383,1.22871e+16,361.0,1
160886,888.0,0.00104,405.0,-4.736e+16,0.0887,137939.0,563.0,1
338240,0.7559999999999999,4.03e-05,638.0,-6.361e+16,0.0307,1.1995296059529e+16,606.0,1
205933,882.0,171000000000.0,605.0,-4.281e+16,157.0,126064.0,634.0,1
277533,912.0,6.52e-05,0.0883,-3449.0,0.0724,110339.0,506.0,1
174573,662.0,0.0,0.0803,-7.196e+16,0.0382,144046.0,742.0,1
211487,0.53,1.34e-06,0.108,-8182.0,0.0255,102029.0,379.0,1
341533,804.0,196999999999.999,299.0,-7.911e+16,0.0326,89846.0,586.0,1
178147,631.0,0.0,0.123,-5.757e+16,0.0283,129556.0,569.0,1
188333,0.78,7.12e-06,0.35,-5872000000000000.0,0.0418,144011.0,514.0,1
496573,0.472,0.8740000000000001,63.0,-16.42,0.0295,115.13,135.0,1
290827,569.0,0.011,0.0714,-11963.0,0.0335,1.09292999999999e+16,0.75,1
209206,875.0,0.0,138.0,-5912000000000000.0,0.0436,136.83,479.0,1
226827,0.7709999999999999,0.0,273.0,-4607.0,0.0501,1.47912999999999e+16,0.4479999999999999,1
247160,718.0,0.000881,79.0,-6457000000000000.0,0.0357,1.15017e+16,0.933,1
224947,0.5,0.0,193.0,-6202000000000000.0,0.0279999999999999,149957.0,0.41,1
250627,557.0,0.0,209.0,-4.47,0.0291,145861.0,142.0,1
212640,0.45,7.57e-06,0.0946,-6314.0,0.0297,147694.0,0.1159999999999999,1
200147,0.4589999999999999,1.28e-06,0.0684,-10446.0,0.0304,1.06957e+16,0.931,1
187907,893.0,6.36e-05,281.0,-4.58899999999999e+16,0.0662,148043.0,392.0,1
311200,988.0,0.84,0.3229999999999999,-3.74,0.144,1.1995296059529e+16,149.0,1
201280,0.9,293.0,0.2689999999999999,-8434.0,0.0457,1.1995296059529e+16,0.918,1
242035,0.75,4.41e-06,0.104,-3248.0,0.0335,105.03,556.0,1
184632,715.0,0.0,0.119,-6.34399999999999e+16,0.0417,1.53956e+16,0.4529999999999999,1
237388,0.45,0.00185,0.0992,-9352.0,0.0325,119912.0,0.432,1
202032,0.7240000000000001,162.0,255.0,-6.79,0.0332,8423700000000000.0,0.3229999999999999,1
180320,0.47,0.0,0.28,-9599.0,0.0301,103477.0,698.0,1
183787,0.901,0.00311,0.14,-6311.0,38.0,93.98,0.357,1
196907,838.0,1.24e-05,0.0841,-3.51,0.0319,151914.0,0.7190000000000001,1
320010,0.351,0.000893,0.0967,-7871.0,0.0311,118633.0,0.246,1
182987,0.959,0.0,147.0,-4763.0,0.118,165136.0,436.0,1
-1,527.0,0.00305,359.0,-15632.0,0.0615,133749.0,0.208,1
215307,951.0,0.0033799999999999,293.0,-5.4,0.0784,120014.0,0.74,1
264067,505.0,9.22e-05,172.0,-9129.0,0.026,74807.0,317.0,1
323600,677.0,518.0,0.108,-8317.0,0.0323,126477.0,0.7170000000000001,1
-1,809.0,0.00671,0.0491,-6.74,0.0495,151836.0,0.49,1
187040,214.0,0.0701,0.178,-17699.0,0.0311,147795.0,275.0,1
-1,501.0,0.0,0.19,-1.1899e+16,0.0385,94961.0,731.0,1
221626,0.6940000000000001,1.04e-06,0.283,-5381.0,0.0329,115993.0,518.0,1
172640,805.0,8.81e-06,109.0,-5399.0,214.0,1.1995296059529e+16,725.0,1
-1,0.7959999999999999,0.0,106.0,-4501.0,0.0333,1.00011e+16,182.0,1
177240,741.0,574.0,0.44,-5.672e+16,0.0357,1.20997999999999e+16,544.0,1
-1,575.0,0.0,0.1159999999999999,-5.1,0.0443,197639.0,294.0,1
274253,527.0,2.65e-06,0.1009999999999999,-9501.0,0.0263,113881.0,0.66,1
246493,871.0,0.51,303.0,-3.453e+16,0.0308,119.99,374.0,1
170813,905.0,578.0,0.0698,-5.27,0.0754,108.9,486.0,1
227400,0.68,0.0,0.1689999999999999,-5.34,0.0332,160043.0,695.0,1
345373,289.0,934.0,0.0812,-16.15,0.0337,7778699999999990.0,0.0364,1
390328,195.0,807.0,0.0798,-19454.0,0.0335,1.26862e+16,0.0389,1
-1,0.8440000000000001,0.00148,171.0,-4329.0,0.0966,130.04,762.0,1
218554,688.0,0.0,0.0596,-4437.0,0.0559999999999999,76997.0,611.0,1
233280,0.5429999999999999,0.0706,107.0,-9482999999999990.0,0.0398,126001.0,282.0,1
245640,605.0,0.000645,0.11,-6686.0,0.0328,1.21792999999999e+16,0.74,1
225000,991.0,1.28e-05,316.0,-1768.0,0.123,95524.0,295.0,1
327400,499.0,1.55e-06,111.0,-1.0972e+16,0.0685,171067.0,0.367,1
257347,941.0,6.42e-05,242.0,-4787.0,51.0,112008.0,542.0,1
245960,0.923,17.0,0.0854,-4.56,0.0539,1.1995296059529e+16,595.0,1
217440,0.89,0.0,0.0912,-5.75899999999999e+16,0.0655,100061.0,525.0,1
419400,0.44,862.0,0.12,-9456.0,0.0352,79095.0,0.13,1
207724,0.6629999999999999,0.0001889999999999,0.13,-9163.0,139.0,94884.0,327.0,1
211809,758.0,0.0,102.0,-5035.0,0.0718,149738.0,423.0,1
258920,877.0,0.0001629999999999,136.0,-3.756e+16,0.0292,1.45918999999999e+16,389.0,1
291800,0.6809999999999999,8.68e-05,266.0,-6919.0,0.0565,141.94,853.0,1
-1,0.3429999999999999,596999999999.999,121.0,-16192.0,0.044,153466.0,0.6609999999999999,1
-1,0.417,0.0,0.0722,-1.32679999999999e+16,0.0325,1.1995296059529e+16,311.0,1
-1,384.0,0.92,0.119,-1.4024e+16,0.0289,159092.0,171.0,1
280347,889.0,0.0,0.0947,-2539.0,0.0371,131.96,659.0,1
